Zip-Code; Neighborhood; Street; Latitude; Longitude; FloodQuota
89010-485; Jardim blumenau; Praca Frieda Zadrosny
89010-465; Jardim blumenau; Praca Maestro Heinz Geyer
89010-435; Jardim blumenau; Praca Vinte e Cinco de Dezembro
89010-345; Jardim blumenau; Rua Bonifacio da Cunha
89010-450; Jardim blumenau; Rua Paulo Grossembacher
89051-622; Nova esperanca; Rua Irene Mendes Sutil
89051-621; Nova esperanca; Rua Julio Alves de Carvalho
89051-410; Nova esperanca; Rua Luiz Alipidio da Paz
89051-341; Nova esperanca; Rua Olentina Bernardina Schmitz
89051-470; Nova esperanca; Rua Vinte e Dois de Julho
89032-482; Passo manso; Rua Erwin Bahr
89032-412; Passo manso; Rua Franz Reiter
89032-522; Passo manso; Rua Franz Wilhelm Isleb
89032-308; Passo manso; Rua Frederico Neurs
89032-411; Passo manso; Rua Germano Katschenski
89032-605; Passo manso; Rua Jose Bagatolli
89032-302; Passo manso; Rua Kurt Pofhal
89032-678; Passo manso; Rua Luzia Soares
89032-303; Passo manso; Rua Odir Cesar Vicentini
89050-062; Ponta aguda; Praca Curt Probst
89050-075; Ponta aguda; Praca Guilherme Krummenauer
89050-005; Ponta aguda; Praca Presidente Juscelino Kubitschek de Oliveira
89050-265; Ponta aguda; Praca Professor Jose Ferreira da Silva
89050-398; Ponta aguda; Praca Ronald Alexandre Niemeyer
89051-005; Ponta aguda; Praca Wilhelm Becker
89050-322; Ponta aguda; Rua Blandina Pereira dos Santos
89050-281; Ponta aguda; Rua Hercilio Candido da Silva
89050-545; Ponta aguda; Rua Joao Floriano Neto
89050-235; Ponta aguda; Rua Julia Cristino Nogueira
89026-345; Progresso; Praca Adao Policarpo Coelho
89027-705; Progresso; Praca Jacob Muelle
89026-796; Progresso; Rua 22 de Maio
89026-072; Progresso; Rua Alfredo Deschamps
89026-648; Progresso; Rua Altivo Militao da Silva
89027-388; Progresso; Rua Amanda Alfarth
89026-655; Progresso; Rua Ana Hilaria Bergamo
89027-390; Progresso; Rua Anna Denonti Smaniotto
89026-666; Progresso; Rua Antonio Egon Schaefer
89027-666; Progresso; Rua Ataliba Hemkemaier
89026-682; Progresso; Rua Avelino Fernandes de Oliveira
89026-061; Progresso; Rua Celso Boos
89027-667; Progresso; Rua Egon Wenderlich
89027-668; Progresso; Rua Elio de Souza Ribeiro
89026-794; Progresso; Rua Eloy Raser
89026-803; Progresso; Rua Engenheiro Marcos Vinicius Gafin
89027-662; Progresso; Rua Enio Manoel Pires
89027-716; Progresso; Rua Erica Imroth
89026-518; Progresso; Rua Ernesto Packer
89027-091; Progresso; Rua Eufrasio Bento da Silva
89027-712; Progresso; Rua Fellippe Petters
89027-664; Progresso; Rua Fioravante Alves de Moraes
89026-062; Progresso; Rua Fredolino Petry
89026-051; Progresso; Rua Gottlieb Bachmann
89027-721; Progresso; Rua Guilhermina Ribeiro
89026-081; Progresso; Rua Haroldo Boehme
89026-580; Progresso; Rua Heinz Roberto Roeck
89026-692; Progresso; Rua Helvis Jose Sborz
89026-741; Progresso; Rua Joao Batista da Silva
89027-722; Progresso; Rua Joao Kantovick
89026-831; Progresso; Rua Joao Serafim de Souza
89026-516; Progresso; Rua Jorge Benjamim de Souza
89026-772; Progresso; Rua Jorge Cassete
89026-797; Progresso; Rua Jose Clemente Schappo
89026-785; Progresso; Rua Jose Sebastiao Sothe
89026-798; Progresso; Rua Juliana Correia
89026-668; Progresso; Rua Laurentino Jose Eleuterio
89026-805; Progresso; Rua Leonardo Daniel Sens
89026-266; Progresso; Rua Lovidio Bertoldi
89026-421; Progresso; Rua Luiz Cassaniga
89026-346; Progresso; Rua Maria Hort
89026-681; Progresso; Rua Maria Liborio
